"rating","text","class_label"
10,"Love the movie I hope they keep making more to come and they r amazing.","positive"
10,"Finally my home theater paid back. I didn't feel that pumped up since 2006 when I first saw the Transformers. And once the movies open after quarantine, I'll go twice lol.","positive"
10,"Here's hoping for a couple möte!I was entertained!","positive"
10,"I got a movie effort on what I expected. Yeah a video game. At least it had substance and is willing to go further bc there are more characters. But it established a basis. And was willing to show more.","positive"
10,"I see alot of other reviews saying that there wasn't a need for Cole and this and that. But I thought I was fantastic! I've been a fan of MK since the release of the 1st game. And everything done up to this point has been sub par to say the least. This movie, while yes having some cheese here and there and a couple plot holes and could've done this or that, I feel was a great story and very well executed. And for the addition of Cole. MK has introduced new characters all the time!. So why not introduce a new one? Especially one that helps tell the story and explain how this or that happens? Haha. All in all. I love it! Above and beyond better than the 1st 2 live action MK movies!!","positive"
10,"I belive with sequals it Will get better the story part.","positive"
7,"I don't really play Mortal Kombat or even follow the concept behind it. But even so, I enjoyed this movie. The fighting choreography is top notch! The costume, the cgi is also worth the hype. I love that they decided to make it rated R. But there's also some things that bothered me, like some bad cinematography, cheesy dialogues, and the somehow boring protagonist. The act 3 of the movie really felt rushed like the writers only had 5 minutes left to finish the script. I hope the sequel will have a better act 3.","positive"
10,"When scorpion says ""get over here"" and the mortal kombat music starts playing, that gave me chills!!!! I hope we do get the trilogy, seeing your childhood on the screen is always perfection.","positive"
10,"Oh, Mortal Kombat. I just loved these games as a kid... I still love them. I now can happily be cut in MK3 for the Sega or MK9 on PC. And when I learned about the existence of a film adaptation of this wonderful fighting game, I immediately decided to watch it. And you know, this movie captivates from the first seconds. As soon as they start to play the first chords of the legendary melody, you just blows the tower. The plot, though rustic, but quite decent. The characters are transferred quite reliably, though some of them are inserted into the film only for the sake of fan service, such as Scorpion or Sub-Zero. The plot revolves around the main trio of the series - Liu Kang, Sonya Blade and Raiden, who must defeat all their enemies and save the world. A little trite, but it is more than overlapped just beautiful battle scenes. The main villain of the film Shang Tsung performed by Chin Han came out very charismatic and memorable. In a whole the film highly good, albeit not without shortcomings. And separately I will allocate Goro whose model was made so that sometimes there was a feeling of its full realism. From me movie 10/10.","positive"
10,"As an old fart, I was surprised at how engaging this new take was. The 1995 version was good fun and this effort maintains the rage. The right mix of kung fu & fantasy. Plenty of laughs, gore, & deliciously cheesy, heartfelt moments.","positive"
10,"People on here really like""The plot wasn't coherent enough for me.""
""The acting performances didn't move me enough.""B**ch Sub Zero stabbed a dude with an ice pick, froze his gushing blood to form another weapon, and stabbed him with it again! Please people try to understand what you're coming to see a movie for before you see it.","positive"
10,"Violent and gory, just like the game! Non stop action. Great fights and a ton of blood. Nicely paced and I love that it harkens to parts of the game. You'll love it!","positive"
7,"The good: the story mostly works, the characterizations are insanely good (from costumes to personalities), and the movie is as gory and brutal as needed, actually way funnier than expected, and the CGI for the powers really great.The bad: the story is a bit messy, the characters motivations and reactions not always 100% natural and/or coherent, and the action and fights (with the exception of the ones with Scorpion) are fine, but the choreography and/or filming is kind of weak (easy to improve with a bigger budget and more talent on board).","positive"
10,"As a young child I loved the original movie! Watching it last night with my son, reminded me how great these fight scenes are. My son kept wanting more and when characters performed their moves and fatalities, he kept jumping out of his seat. Story could have been better but I see it's for the sequel (I hope they make soon). If you love action, this movie is for you!","positive"
10,"Amazing! Everything is excellent and great!I thought that it would be medium, but it was excellent.","positive"
