movie_review,class_label
"Bloody Birthday opens to a shot of Meadowvale General Hospital. There three babies are being born at precisely the same time during a total eclipse. A caption informs us that it is now 'Meadowvale, California June 1, 1980'. Two teenage lovers, Duke Benson (Ben Marley) and Annie Smith (Erica Hope) are getting down to business in an open grave. They hear noises and Duke investigates. Both Duke and Annie are murdered. Sheriff Jim Brody (Bert Kramer) is baffled and only has the handle of a child's skipping rope that Annie was holding, as a clue. Unfortunately before Sheriff Brody can solve the case his youngest daughter Debbie (Elizabeth Hoy) and two of her friends Curtis Taylor (Billy Jayne as Billy Jacoby) and Steven Seton (Andy Freeman) murder him. Just as they are finishing Sheriff Brody off another young boy from their class named Timmy Russel (K.C. Martel) turns up, the three killers are unaware of how much he saw. Soon after the incident Timmy plays with Steven and Curtis in a junkyard. Curtis locks Timmy into an old locker. Timmy manages to escape and tell his sister Joyce (Lori Lethin), but she doesn't believe him at first. The three children carry on their murder spree. Their strict teacher Miss Davis (Susan Strasberg) a lovemaking couple (John Avery and Sylvia Wright) in a van and Debbie's older sister Beverly (Julie Brown) are among their victims. Joyce begins to have her suspicions about Debbie, Curtis and Steven which makes her and Timmy a target for the evil trio. Will they be able to convince the authorities that these three innocent looking 10 year olds are really soulless killers?<br /><br />Co-written and directed by Ed Hunt I have an intense dislike for this film. I think it's absolutely awful and doesn't have a single enjoyable aspect to it's 83 minute running time. The script by Hunt and Barry Pearson gives us no explanation for the child killers motives beyond the solar eclipse that blocks out Saturn and therefore for some bizarre astrological reason these three children don't have any conscience, so these are the only children ever born during a total eclipse? If that is true why do they wait until just before their tenth birthday's before starting their killing spree? I guess it just suddenly kicks in, right? To it's credit it is reasonably well paced but I still found it incredibly boring and tedious to sit through. The film as a whole is very unexciting and predictable, the children are revealed as the killers within the first 10 minutes and as I've mentioned next to no motive is given. It's very silly at times, too. Check out the scene where Debbie stops Steven by throwing a bowl of water over him! The Sheriff's death is put down to him falling down some steps, yeah right the injuries suffered from that type of accident aren't going to be the same as if your beaten to death with a baseball bat like he was in reality, any competent Doctor or Pathologist would have spotted that within 5 seconds. There isn't a single drop of blood spilt in the entire film and all of the lame killings are dull and unimaginative. There is some out-of-place looking nudity as Debbie charges 25c to let boys peek through a hole while her sister Beverly strips. There is an early scene just after the 5 minute mark when Joyce walks from the kitchen to the living room and the boom mike is clearly visible at the top of the screen, not even a little bit of it the whole damn thing. The general incompetence continues throughout the film. The whole production is bland and instantly forgettable. The acting is poor throughout, those three kids are very annoying and got on my nerves right from the start and made sitting through this film even more of a chore, especially Curtis in his geeky over-sized glasses. I just hate this film really, simple as that. I can't think of a single good thing to say about it. Definitely one to avoid.",negative
"This movie cannot be serious because it has a nerdy looking kid named Curtis killing people. The other two psycho kids are kind of cute but that Curtis kid is just so ugly because he wears these huge, brown, ugly glasses. The actor probably wandered on the wrong set and he was really supposed to go to Revenge of the Nerds.<br /><br />Another thing that I hate so much about this movie is that Curtis takes his sweet time shooting people. I kept my finger on the fast forward button because he took too long and what was up with his voice? He sounded like he was fourteen and not ten. Another thing I hated was that he kept smiling like an idiot and there was no point to that.<br /><br />Then they put that annoying kid in the freezer and somehow he found a flashlight in there. That didn't make any sense and neither did the music. The music didn't fit any of the scenes.<br /><br />This movie is slow, boring and a waste of time. Watch a different movie on your birthday.",negative
"It seems ever since 1982, about every two or three years we get a movie that claims to be ""The Next Officer and a Gentleman."" There has yet to be one movie that has lived up to this claim and this movie is no different.<br /><br />We get the usual ripped off scenes from OAAG (""I want you DOR,"" the instructor gives the Richard Gere character his overdose of drills in hopes he'll quit, the Gere character comes back for the girl, the Gere character realizes the instructor is great, etc.) and this movie is as predictable as the sun rising in the East and is horribly miscast on top. Costner plays his usual ""wise teacher"" character, the only character he can play, and you really get a sense of his limited acting abilities here. Kutcher is terrible in the Richard Gere character, just miscast with acting skills barely a notch above Keanu Reeves.<br /><br />The main problem with this OAAG wannabe is the two main characters are so amazingly one-dimensional, you never care for either in the least and when Kutcher's character finally turns around (just like Gere did in OAAG) you just go ""so what? The movie leaves no plot point unturned and seems to never end as if to say ""oh wait, we forgot to close out the girlfriend story, or the what happens after he graduates story, or the other six plot points in the movie..."" What's more baffling is the great ""reviews"" I see here. The general public's opinions never cease to amaze me.",negative
"A mean spirited, repulsive horror film about 3 murderous children. Susan Strasberg is totally wasted in a 5-minute cameo, even though she receives star billing. If your a Julie Brown fan, you'll want to check it out, since she's naked in a couple of shots. All others,avoid.",negative
"Bloody Birthday is a totally rubbish slasher movie from beginning to end. <br /><br />I found the acting to be pretty good considering the genre of movie and its obvious low budget. I don't know what was going on with the cinematography but it looked ghastly. Way too over-saturated. Maybe this is a bad transfer to DVD or maybe it always looked like that, I don't know. <br /><br />There really are no redeeming qualities to speak of. There are a few deaths but not really gory. I wouldn't bother with it if I was you. The best thing about the DVD was the 15 minute interview with producer Max Rosenberg who was very amusing and honest. He didn't have anything good to say about director Ed Hunt and admits the movie was a failure, but he would like to re-make it as he believes it has a decent plot. However, he died in 2004 so I guess it will be up to someone else to take on that challenge. With the way things have been going in the last few years it wouldn't surprise me, there's at least one re-make per week at the cinema these day. It couldn't be any worse than the original I suppose but I couldn't care less whether it got re-made or not.",negative
"When you make a film with a killer-kids premise, there are two effective ways to approach it; you can either make it as realistic as possible, creating believable characters and situations, or you can make it as fun as possible by playing it for laughs (something which the makers of ""Silent Night, Deadly Night"" did, for example, on an equally controversial subject: a killer Santa). The people who made ""Bloody Birthday"", however, do neither of those things; they simply rely on the shock value of the image of a kid with a gun (or a knife, or a noose, or an arrow) in his/her hand. The result is both offensive and stupid. The whole film looks like a bad idea that was rushed through production (and then kept from release for several years). It's redeemed a tiny bit by good performances from the kids, but it's VERY sloppily made. (*1/2)",negative
"When people say children are annoying u think ya my little cousins can be annoying and i said LITTLE. These children are turning 10 and they are without a doubt the most annoying bratty children you will ever encounter (in a film). Lets start with the blonde - Debbie - She's a slut of a girl, i mean come on she wears mini skirts, she has stupid frizzy blonde hair and a freckley red bunny like face. She acts so innocent. Next we have the second child - the Geek - who thinks he's so cool, with his long range shooting and his use of a silencer (a coat over the gun) and most of all his evil bratty smile. The next kid is the quiet one you don't care about so thats all on him. This film angered me at the children's intelligence and the only enjoyment i got was from my cousin who kept bitching about them.",negative
"'Bloody Birthday' is an odd and, at times, humorous low-budget horror flick along the lines of 'Mikey' or a less intelligent version of 'The Good Son'.<br /><br />Set in a small Californian town, three babies are born at the height of an eclipse, where planetary alignment means they are somehow born without emotions. Ten years later, our three little psychopaths take themselves on a killing spree, doing away with parents, siblings, teachers and anyone else who irritates them. Only one teenage girl knows the truth to be able to stop them. There is no explanation for why babies across the world born at the same time aren't equally as twisted but there you go!<br /><br />For a slasher film, it's very tame in terms of violence and gore, which I suppose highlights the problem of casting child characters as the killers as there is only so much you can expose the young actors to. Instead, it's amusing and a little disturbing seeing three ten-year-olds plotting murders and carrying out their plans using guns, knives and crossbows. The main reason why it doesn't descend into being totally ridiculous is because the child actors are very convincing in their roles with the way they slyly play the little innocents in front of undiscerning adults while showing their dark side to the girl who knows the truth.<br /><br />'Bloody Birthday' is rather mediocre as a horror flick, with few scares and little blood, but because it has the shock factor of having kids as the killers, it is a bit unique in that way. One to watch if there's nothing else on.",negative
"Is it a poorly acted, cliche-ridden pile of trash? Of course. Anyone who doesn't realize that when they pick up the box in the video store probably doesn't have any right judging movies in the first place. Thus, I will now rate the aspects of the film that we actually care about on a scale of 1 to 10:<br /><br />Violence and gore: 4 -- For this genre, there are very few deaths, and the gore is almost non-existent. Anyone looking for a little blood should probably look elsewhere. The only redeeming quality is the fact that kids are doing these awful things, which raises the bar a little.<br /><br />Suspense: 1 -- Okay, I feel bad for anyone who gets scared by this trio of dorky looking kids.<br /><br />Nudity/sex: 7 -- Lots of boobage from three different women, one of whom is the MTV vj Julie Brown. There are two sex scenes, but little is shown in them.<br /><br />Unintentional humor -- 4 -- There are a few good laughs with the kids trying to act scary, but all in all, it's just bad, not funny bad.<br /><br />Overall -- 4 -- It's not unwatchable. There are a few fun moments, and enough nudity to keep your attention for the entire movie. However, only watch this movie if you're a big fan of the 80's slasher flicks. This definitely falls on the lower end of the scale, but it's not all the way at the bottom. The real downside is the disappointing ending. It almost ruined the movie for me.",negative
"Formulaic slasher film, only this one stars three ten year olds (all born during a lunar eclipse) as the killers. Nice, huh? A little bit of gore and a nice nude scene may make this worthwhile for diehard fans of the genre, others beware.<br /><br />*1/2 out of ****",negative
"""Cover Girl"" is a lacklustre WWII musical with absolutely nothing memorable about it, save for its signature song, ""Long Ago and Far Away."" This film came out before Gene Kelly really hit his artistic stride, and while there are evidences of his burgeoning talent here, mostly he plays sidekick to Rita Hayworth. And there's the problem. Rita Hayworth is gorgeous, no doubt about that. But she's simply not a compelling screen presence. I've always found myself wanting to like her more than I actually do, and this movie is no exception. She's simply not a very good actress, and she's not even a very good dancer. Good looking as she is, there's something vapid about her, and this movie suffers because of it.<br /><br />Grade: C-",negative
"Rita Hayworth plays a Brooklyn nightclub dancer named Rusty who specializes in cheesecake chorus revues; she manages to get herself on the cover of a national fashion magazine, but her impending success as a solo (with romantic offers all around) has smitten boss Gene Kelly chomping at the bit. Terribly tired piece of Technicolor cotton candy, with unmemorable musical sketches (the two worst of which are irrelevant flashbacks to the 1890s, with Hayworth portraying her own grandmother). Kelly, as always, dances well but acts with false sincerity; when he's serious, he's insufferable, and the rest of the time he's flying on adrenaline. The script is a lead weight, not even giving supporting players Phil Silvers and Eve Arden any good lines. *1/2 from ****",negative
"Like 'Singin' in the Rain', 'Cover Girl' has a trio of two guys and a girl. In 'Cover Girl', Phil Silvers (Genius) is the comic relief. He corresponds to Donald O'Connor's funny man part in 'Singin in the Rain'. In Cover Girl, Gene Kelly's love interest is Rita Hayworth and in 'Rain', it's Debbie Reynolds. That's where the comparison ends.<br /><br />Whereas ""Singin' in the Rain' is a classic American movie musical, 'Cover Girl' is mediocrity incarnate. The story isn't very complicated. Rusty Parker (Rita Hayworth) is a dancer in Danny MacGuire's low-rent nightclub in Brooklyn. Rusty decides to enter a Cover Girl contest sponsored by a wealthy publisher, John Coudair, who made an unsuccessful play for Rusty's grandmother years ago. Coudair introduces Rusty to Broadway producer Noel Wheaton who makes her into a star. Danny feels slighted when Rusty starts showing up late for rehearsals at the nightclub and decides to close the club down and go on the road entertaining the troops along with his sidekick, Genius. At the last minute, with Rusty at the altar with Noel, she realizes the error of her ways and runs back to Danny. They live happily ever after.<br /><br />Gene Kelly has the least developed part in the movie. All we find out about him is that he owns a nightclub and is madly in love with Rusty. Coudair and Wheaton act like besotted teenagers toward Rusty and Phil Silvers delivers some thoroughly goofy but unfunny shtick. The most interesting aspect of Rita Hayworth's performance is the scene in which she gets drunk. This foreshadows what happened to her in real life. Anyone who has read her biography will learn that she disliked Hollywood, pined away for a normal home life which she could never attain but eventually began drinking and ended up with full-blown Alzheimer's during the last years of her life.<br /><br />Almost all of the songs in Cover Girl are old-fashioned and not very tuneful. Gene Kelly has only one really excellent dance number and that's the scene where he dances with his 'alter ego'. Earlier, the trio has another number which is a pale precursor of 'Make em Laugh' from 'Singin' in the Rain'.<br /><br />The most annoying thing about 'Cover Girl' is the way in which Rita Hayworth is put up on a pedestal. A couple of decades later, Raquel Welch had the same problem. Both actresses later in their careers would always try and find scripts that showcased their acting abilities. They wanted to be known as 'actresses' and not 'pinup girls'. Unfortunately, 'Cover Girl' is an example of how Hollywood used to exploit women for financial gain.",negative
"Wow, another Kevin Costner hero movie. Postman, Tin Cup, Waterworld, Bodyguard, Wyatt Earp, Robin Hood, even that baseball movie. Seems like he makes movies specifically to be the center of attention. The characters are almost always the same ... the heroics, the flaws, the greatness, the fall, the redemption. Yup, within the 1st 5 minutes of the movie, we're all supposed to be in awe of his character, and it builds up more and more from there.<br /><br />And this time the story ... story? ... is just a collage of different movies. You don't need a spoiler; you've seen this movie several times, though it had different titles. You'll know what will happen way before it happens. This is like mixing An Officer and a Gentleman with Backdraft, but both are easily better movies. Watch Backdraft to see how this kind of movie should be made ... and also to see how an good but slightly underrated actor, Russell, plays the hero.",negative
"Rita Hayworth is just stunning at times and, for me, the only reason to watch this silly film. Despite the overdone 1940s lipstick, Rita was one of the all-time glamor women of Hollywood. In fact, for a couple of years I can't imagine anyone that looked better, except maybe Elizabeth Taylor in her prime.<br /><br />Anyway, the co-star of the show, Gene Kelly, does not play his normal likable, at least the kind of guy we all know him from in ""Singin' In The Rain."" Here, Kelly's ""Danny McGuire"" pouts much of the time. Phil Silvers, who I loved on TV at ""Sgt. Bilko,"" is so stupid in here as ""Genius"" you will just cringe listening to his dumb jokes....and they are stupid.<br /><br />The visuals are good with great Technicolor, which almost looks terrific. You get to see a lot of pretty women in here, too, not just Hayworth. Unfortunately, the story isn't all that much. It centers around Hayworth deciding about a career choice. Along the way, we get the normal shabby treatment of marriage and we get an insultingly-dumb ending. All in all, an unmemorable film, except as a showcase for Hayworth's beauty.",negative
"It hurt to watch this movie, it really did... I wanted to like it, even going in. Shot obviously for very little cash, I looked past and told myself to appreciate the inspiration. Unfortunately, although I did appreciate the film on that level, the acting and editing was terrible, and the last 25-30 minutes were severe thumb-twiddling territory. A 95 minute film should not drag. The ratings for this one are good so far, but I fear that the friends and family might have had a say in that one. What was with those transitions? Dear Mr. Editor, did you just purchase your first copy of Adobe Premiere and make it your main goal to use all the goofy transitions that come with that silly program? Anyway... some better actors, a little more passion, and some more appealing editing and this makes a decent movie.",negative
"This film seems well made, and more efforts should be made to promote films by women. That aside, this film is also profoundly disturbing in that it justifies the manipulative and psychotic machinations of a character that is profoundly disturbed. If you've seen any of the promotional material, you might think this is a poignant film about a relationship that's reached its end, but none of that suggests how really disturbing the central premise is:<br /><br />A woman threatens suicide unless her soon to be ex agrees to relive here most treasured memories of their relationship. When told how unfair (to say the least) that such a threat is, Tessa (the purported protagonist) suggests that ""life's not fair.""<br /><br />Huh??? This character also uses tears to manipulate her former lover into staying, and coaxes him into sexually oriented behavior (which she initially denies as a motive) all the while assuring him ""this isn't sex.""<br /><br />Reverse the genders, have the leads played by Tracey Gold and Brian Austin-Green and this could air in feature length on Lifetime with a title like ""Hostage to Obsession."" There is no medically accepted definition of sound mental and emotional stability that would encompass Tessa's behavior in this film.<br /><br />Props to Kristen Thomson for playing a border-line psychotic, manipulative ex to a T, perhaps too well because there is no well-adjusted person, male or female, who could watch this and not have shivers run up their spine.",negative
"Sorry, but Jacqueline Hyde (get it??? - Jack L and Hyde - Jekyll & Hyde) has some of the worst acting this side of hardcore porn, not to mention a script apparently written by a first-grader with undiagnosed learning disabilities.<br /><br />Jackie Hyde inherits an old mansion by a grandfather she never knew she had. Guess who? Yes, an inventor of the special formula that slowly takes over one's body and mind - yes, that Mr. Hyde! <br /><br />Despite some nice skin scenes, this film fails to register any feeling or emotion other than uncontrollable laughter.<br /><br />As much as poor Jackie tries she just can't stay away from granddaddy's special formula and the result is an hour and half of wasted time.",negative
"Jacqueline Hyde starts like any other normal day for telemarketing individual Jackie Hyde (co-producer Gabriella Hall) until her boss (Robert Donovan) fires her for taking personal calls at work, however it's not all bad news as the call she took was from a lawyer informing her that her Grandfather (Malcolm Bennett) has recently died & that he left her his mansion & fortune (why doesn't stuff like that ever happen to me? Sigh). Very excited Jackie heads on over there & makes herself right at home, while looking for the thermostat late one night Jackie stumbles upon a secret room where her Grandfather stashes the bright red formula that he invented that allows whoever drinks it to change their appearance. Being a bit on the porky side Jackie finally settles on the glamorous Jacqueline (Blythe Metz), however Jackie's better looking alter-ego starts to take control...<br /><br />Written, co-produced & directed by Rolfe Kanefsky I thought Jacqueline Hyde was complete total & utter crap from start to finish & it's as simple & straight forward as that. According to the opening credits Jacqueline Hyde was 'inspired' by the classic Robert Louis Stevenson novel 'The Strange Case of Dr. Jekyll and Mr. Hyde', frankly if Mr. Stevenson could see what was being done to his story here he'd turn in his grave. For a start I think Jacqueline Hyde was/is intended to be a horror film, the IMDb certainly lists it as such but there isn't any horror in it at all apart from just how bad it is. I would say that Jacqueline Hyde is more a soft-core porno than anything else & extremely tame with it, why sit down & watch this softer than soft porno crap when you can watch you proper hard-core stuff that actually delivers the goods? Why, that's the question I ask here. It's not even good porn either, besides being far too soft it's dull, boring & the not-worth-mentioning sex scenes are few & far between. The most intelligent aspect of this film is the title which would have been quite clever if not for the fact that another film used the Jacqueline Hyde (1998) title during the last century & judging by the IMDb's plot summary it sounds a hell of a lot better than this piece of rubbish. This is one of those films you have to watch yourself to see just how bad it is but just hope that you never get the opportunity.<br /><br />Director Kanefsky was obviously working on a low budget but that's not an excuse these days, shot on a digital camcorder the film looks cheap & the few instances of CGI look like they came from a Nintendo Gameboy, the final 'shocking' twist has probably the worst morph effect I've ever seen & is pretty good for a laugh as is the scene when Jackie's breasts grow via more terrible CGI. That's another thing, the film takes itself far too seriously. The subject matter sucks, is far too predictable & makes for a poor film but maybe if the dialogue had been intentionally funny with some dirty porn talk the film might have been more fun to watch, alas it isn't so it isn't. Forget about any decent horror, violence or gore as there isn't any apart from a surprisingly bloodless decapitation at the end.<br /><br />Technically Jacqueline Hyde is home made film type stuff, the photography is of the flat hand held point-&-shoot variety, the music, production design & special effects are of a suitably low standard to match the script. The acting was awful, seriously this is bad.<br /><br />Jacqueline Hyde in my opinion a load of crap, there is not one positive thing about this turgid film that I can think of. Any proper film lover will have an almost impossible time trying to find any redeeming value in this crap, definitely one to avoid.",negative
