"rating","text","class_label"
10,"Love the movie I hope they keep making more to come and they r amazing.","positive"
10,"Finally my home theater paid back. I didn't feel that pumped up since 2006 when I first saw the Transformers. And once the movies open after quarantine, I'll go twice lol.","positive"
10,"Here's hoping for a couple möte!I was entertained!","positive"
10,"I got a movie effort on what I expected. Yeah a video game. At least it had substance and is willing to go further bc there are more characters. But it established a basis. And was willing to show more.","positive"
10,"I see alot of other reviews saying that there wasn't a need for Cole and this and that. But I thought I was fantastic! I've been a fan of MK since the release of the 1st game. And everything done up to this point has been sub par to say the least. This movie, while yes having some cheese here and there and a couple plot holes and could've done this or that, I feel was a great story and very well executed. And for the addition of Cole. MK has introduced new characters all the time!. So why not introduce a new one? Especially one that helps tell the story and explain how this or that happens? Haha. All in all. I love it! Above and beyond better than the 1st 2 live action MK movies!!","positive"
10,"I belive with sequals it Will get better the story part.","positive"
7,"I don't really play Mortal Kombat or even follow the concept behind it. But even so, I enjoyed this movie. The fighting choreography is top notch! The costume, the cgi is also worth the hype. I love that they decided to make it rated R. But there's also some things that bothered me, like some bad cinematography, cheesy dialogues, and the somehow boring protagonist. The act 3 of the movie really felt rushed like the writers only had 5 minutes left to finish the script. I hope the sequel will have a better act 3.","positive"
10,"When scorpion says ""get over here"" and the mortal kombat music starts playing, that gave me chills!!!! I hope we do get the trilogy, seeing your childhood on the screen is always perfection.","positive"
10,"Oh, Mortal Kombat. I just loved these games as a kid... I still love them. I now can happily be cut in MK3 for the Sega or MK9 on PC. And when I learned about the existence of a film adaptation of this wonderful fighting game, I immediately decided to watch it. And you know, this movie captivates from the first seconds. As soon as they start to play the first chords of the legendary melody, you just blows the tower. The plot, though rustic, but quite decent. The characters are transferred quite reliably, though some of them are inserted into the film only for the sake of fan service, such as Scorpion or Sub-Zero. The plot revolves around the main trio of the series - Liu Kang, Sonya Blade and Raiden, who must defeat all their enemies and save the world. A little trite, but it is more than overlapped just beautiful battle scenes. The main villain of the film Shang Tsung performed by Chin Han came out very charismatic and memorable. In a whole the film highly good, albeit not without shortcomings. And separately I will allocate Goro whose model was made so that sometimes there was a feeling of its full realism. From me movie 10/10.","positive"
10,"As an old fart, I was surprised at how engaging this new take was. The 1995 version was good fun and this effort maintains the rage. The right mix of kung fu & fantasy. Plenty of laughs, gore, & deliciously cheesy, heartfelt moments.","positive"
10,"People on here really like""The plot wasn't coherent enough for me.""
""The acting performances didn't move me enough.""B**ch Sub Zero stabbed a dude with an ice pick, froze his gushing blood to form another weapon, and stabbed him with it again! Please people try to understand what you're coming to see a movie for before you see it.","positive"
10,"Violent and gory, just like the game! Non stop action. Great fights and a ton of blood. Nicely paced and I love that it harkens to parts of the game. You'll love it!","positive"
7,"The good: the story mostly works, the characterizations are insanely good (from costumes to personalities), and the movie is as gory and brutal as needed, actually way funnier than expected, and the CGI for the powers really great.The bad: the story is a bit messy, the characters motivations and reactions not always 100% natural and/or coherent, and the action and fights (with the exception of the ones with Scorpion) are fine, but the choreography and/or filming is kind of weak (easy to improve with a bigger budget and more talent on board).","positive"
10,"As a young child I loved the original movie! Watching it last night with my son, reminded me how great these fight scenes are. My son kept wanting more and when characters performed their moves and fatalities, he kept jumping out of his seat. Story could have been better but I see it's for the sequel (I hope they make soon). If you love action, this movie is for you!","positive"
10,"Amazing! Everything is excellent and great!I thought that it would be medium, but it was excellent.","positive"
10,"I see a lot of people talking about the lack of certain things like the actual tournament, to much groundwork on background for certain characters and other characters completely missing from the movie, characters not looking the same etc, as well as people saying they wish there had been more action than only about 40-50% of the movie.I just want to point out to everyone that is not aware, that this is supposed to be the beginning of a trilogy (Yes, I am one of those people that follows stuff like that). Had they packed all of that into one movie it would have been overload.I personally think it was an excellent start! Excellent character casting and personality building on everyone. I love all the visual, Outworld and the temple on Earth. As well as all the visual hints in the movie of future character's for those of us that are a little obsessive.I like the music upgrades, they still have the feel of the original and bring back memories with a slightly more contemporary vibe to keep it from sounding dated. Crossing my fingers that this first installment does well enough so that the next installment goes ahead. The only reason that I am worried that it may not is because of everything thats happened over the past year, not because of the movie not being good enough.I personally loved this movie, as the first of a trilogy. If it were a stand alone I may be a little disappointed that certain personal favorites *cough* Katana *cough* Nightwolf *cough* were not in it, however, I saw Katana's blade fan in the temple although it didn't get a neon sign the way Shinnok's amulet did when Kano tried to steal it, and one of the newspaper clippings on Sonya Blade's research wall pointed to a possibility for a future Nightwolf to me. But between those hints and the big hint (blazing neon sign really lol) at the end when Cole Young heads to Hollywood and as he leaves a movie poster for Johnny Cage as Citizen Cage is left in focus of the camera spell out for some excellent future possibilities/probabilities. They would have had to include other realms in this movie to pull in characters like Katana and again, that probably would have been information overload for one movie. They are taking their time and doing this right and I for one appreciate it greatly!Looking forward to the next installment of this trilogy!","positive"
10,"True adaptation of the game. Fun movie to watch. Kano was absolute blast.","positive"
10,"THE MOVIE DELIVERS ON WHAT IT PROMISES, A LOT OF ACTION, A LOT OF BLOOD AND A LOT OF FIGHTING. THOSE LOOKING FOR A MOVIE WITH A COMPLICATED AND SOPHISTICATED PLOT KEEP GOING, THIS MOVIE IS NOT FOR YOU.","positive"
7,"Plot was lacking but the violence, gore and fighting choreography made up for it. The editing was a bit choppy and lacked in arrears that needed more detail. With all that being said, it was overall enjoyable if you're an MK fan.","positive"
10,"There were many moments where I was clapping in the theatre and the rest of the audience joined in!!! Flawless victory!!!I got goosebumps watching it. So many great moments!!If you love the games, you won't be disappointed. This is now my favorite movie of all time.","positive"
10,"Iam a big fan of this franchise since my childhood . Watched and played the game and movie as well in childhood. The movie was fantastic great story telling , great action . Was hooked to the movie from the start . Warner bros did a great job with this movie . Awesome characters in this movie . Specially loved subzero and scorpion . They also set up the movie for sequels hopefully guys we get a sequel soon .","positive"
9,"The movie lives up to the expectation. Delivered great CGI effect. Looking forward to the next sequel.","positive"
9,"The movie is great . After all you are not gonna watch some sort of Genesis movie . It has all the action , blood and everything that you want from a MK movie .YEP , the editing was not so good , but will see hows gonna be in the second movie. Hope we see it : )","positive"
7,"Big expectations, but althought it could be better, at least is watchable. Not too much fighting, less than 50% of the game. Spoiler alert!! Theres also second part upcoming.","positive"
9,"I have watched the original movie & treat this as a standalone version.9/10The fights are epic, bloody, gory & Mortal Kombat-esque. Exactly what Dr Goro ordered!Cool story, excellent special effects & decent actors.Highlights include an awesome soundtrack, one character with hilarious dialogue & game references.Must see! Fight!!","positive"
9,"Ignore those low reviews, they probably just dont understand the game and concept. It's a throwback style movie for those old skool gamers.They done it better the way they set the story.","positive"
8,"I was worried the first scene would be the pinnacle of the movie, and while it was.... Hanzo Hasashi made my movie year with three words and his reappearance. He's always phenomenal. The rest of the movie was lots of fun with minor disappointments. I hope they make the follow up.","positive"
7,"Pretty legit, solid. Had a good time watching.Wished it was longer with more action scenes. Otherwise, totally legit and would totally watch this one again.","positive"
8,"Good martial arts, action and fun, it won't disssapoint you.Back to the 80s!","positive"
9,"SPOILERS........Personally I thought the movie was pretty steller the action, comedy, and the effects were all wonderful. Now the only few grips I had with it was general reiko I felt that he was over acting way too much (which is weird for a guy with no lines to do), the main character wasn't an established mk character (would have loved it if lu kang was the focus but the lead character kinda grew on me so it's only a minor issue), and finally how sonya got her powers. The hole training montage was based around finding their arcana and it being difficult but she was able to get it the second she beat kano (rip best character)","positive"
8,"I'm giving a 8 cause I was waiting this movie since the announcement but I'm a little disappointed cause I thought that Scorpion will be on Quan Chis hand and I was hoping for more characters like some of Netherrealm characters. But is a movie that for us as MK lovers should not miss.","positive"
8,"Somewhat cartoonish as one would expect. Slightly miscast, but it works for this movie. All and all a good one to view.","positive"
8,"I actually quite enjoyed watching this movie! The action was awesome, the jokes were actually funny, and the storyline was fairly well developed. The main characters were badass, and the CGI was stunningly good. I went in with no expectations and was rewarded with a good time. Finish them!","positive"
6,"I like the brutal fight scenes and the actors chosen for the characters. Unfortunately, the battles were often very short and characters killed quickly, some of which should never have been in a pre-tournament movie. This movie felt pointless and the addition of Cole is not necessary. Just make Cole die next movie and bring Scorpion back. That's the only way this trilogy works. The new character Cole is so annoying and not even a real MK fighter so what's the point.","negative"
7,"A beautiful movie that brings back joyful memories
But Scorpion's role was small
And the scenes of fighting and karate should be stronger and more.<U+0001F982>","positive"
8,"As a fan of the games for 29 years this was a great alternate timeline PREQUEL to the first Mortal Kombat game which was is fought on Shang Tsungs island (hopefully in the sequel)Do characters die off early yes, but just like the games no one is truely dead in the MK universe.Look up ""MK revernants.""I like how everyone is training to unlock their powers and the fight scenes that are video game accurate, the humour and fatality's were all a FLAWLESS VICTORY!Check it out.","positive"
3,"Why? Why did they make this? As an avid Mortal Kombat fan since day 1 I can say that this movie was trashy baggins. Cole Young? Who? This guys special power is to magically grow a long sleeve shirt. Notice he isn't on the theatrical one sheet... BECAUSE NO ONE KNOWS WHO THIS GUY IS. Don't make up stuff.I'll give praise to the special effects but, overall, this movie felt like a pilot for a CW tv show. Liu Kang has a slight british accent. Why? Shirt McGirt can defeat the 9 times running MK champ after getting his hiney wiped at the beginning of the movie by a nobody. Why? So much no. Just so much no.","negative"
9,"I enjoyed this tremendously. I got what i wanted. Fast paced non stop action.Some top notch editing, amazing cinematography n amazeballs special effects.No hand held shaky stuff, nothing shot in the dark n no time wasting.The film has oodles of blood and it has one of the best watermelon exploding scene via the mighty clap.The effects of Reptile n Goro is very well done.The only thing i missed is the theme song n the screaming of Mortallll Kombatttt.But i am happy that they retained the iconic dialogues, ""your soul is mine"" and ""flawless victory "".They shud have taken Iko Uwais too.","positive"
8,"It's true there's not much storyline & character development going on, because there's no need. It's an ACTION film. You give a little pieces of characters background and the main focus should be on action. The fighting scenes and visual effects are great although some of them could be improved to perfect. Never a dull moment for me. I highly recommend.","positive"
7,"Brought out all the 90s kid feels. Not sure why some reviews are so low. Fight scenes were great, special effects were great, story was serviceable. It's not going to win an oscar, but i feel like they did a great job with this adaptation. Hope they include Kitana in the sequel.","positive"
7,"I thought this was a very enjoyable movie. Great battles, lots of our favorite MK characters and really cool looking fatalities. Kano stole the show. He had so many ""LOL"" moments. They nailed the characters in general but they failed miserably with the main character..He was not prepared for a main role. His powers were weak. He ruined the epic battle between Subzero and Scorpion. Imo they could've had something much better without this character. Thumbs up nonetheless.","positive"
9,"The movie was great and piece of art. The direction was amazing. Vfx grapics and etc...was also great but the problem was that some parts of the movie were without substitiles and were not understandable..","positive"
9,"To summarize: this movie accomplishes what it intended to. It's a more graphic, modern, and cinematic take on the games content. It builds a loose plot line to allow for multiple fights while essentially serving as a prologue to future potential sequels or movies.Pros:
Graphic content, Delivers what you expect, Scorpion Vs Sub-Zero driving the plot line, easy to follow, multiple fights, and distinguishes itself from old movies.Cons:
Struggled to create a climatic fight sequence like old films where they progressed to a boss, cussing was ok but almost became unnecessary at times like it was being forced, acting took some time to adjust to, fights weren't very long (but did allow for more), and missed out on the epic fight music keying in at the right times.Final thoughts:
It's a movie converted from a game and should be treated as such. Not-so-serious entertainment that gives exactly whats expected of if with room to flourish with sequels and etc if properly managed. The story behind Cole young surprisingly didn't suck either and neither did the movie as long as you keep it in perspective of what exactly it is (a gaming fans movie).","positive"
7,"It is a Mortal Kombat movie, so nobody expects a cinematic masterpiece but rather a fun martial arts movie with fun fighting scenes and cool special effects. That being said; this movie nails it but it still needs polishing in that area. The fighting is the centerpiece of this movie, but some shots and cuts take that away a bit too often and makes you go from ""holy cow"" to ""what was that?"" a bit too much. This is especially sad since not only the special effects were great but so are the fighting choreographies, and the editing overshadows the amazing actors' work.On the other hand this movie presented some cheesy and awkward moments script-wise, having some noticeable plot holes and basic dialogues, but it also delivers great performances; mainly from Josh Lawson (Kano).In conclusion: when you walk in wanting to watch a Mortal Kombat movie you know what you're going to get. And while this movie needs some polishing to be done in its editing and writing in its essence is actually a great movie... or rather a... Flawless Victory!","positive"
7,"Let's set the expectations first. This movie is based on a video game, not a book or a comic. If you are going into the movie expecting an Oscar winning script or Oscar performances from actors, then you will be disappointed.If you are hoping for a decent screenplay based on the video game with good fight scenes, screen adaptions of your favourite characters and improved choreography and CGI compared to previous Mortal Kombat movies, then you will enjoy this movie. Based on those criteria and scoring this movie from an entertainment point of view, I would give it an 7/10 - I would have loved to have heard the original theme from the 1995 movie in this.I personally didn't have high expectations for this movie due to the fact that very few video games have had good screenplay adaptions. However, I was pleasantly surprised at the job the producers have done for this movie.Although I did not know some of the actors, I thought the casting of the characters was perfect and loved seeing the job they did with them. I especially loved the screen adaptions of the characters special moves... they were a joy to behold. Kano was also surprisingly very funny and the producers did a great job including some of the characters catchphrases. The fictional worlds were also impressive looking in the movie.If you are a fan of the Mortal Kombat game, and you enjoyed the 1995 movie, then this movie is definitely for you. If you are looking for a cheesy entertaining movie to watch then you can't really go astray either with this. If neither of those scenarios apply to you then you should probably give this a miss.","positive"
7,"Pretty decent for people who played the original games and saw the early films it's very nostalgic.Hope if another film gets made will show the actual tournament but its a fun film.","positive"
8,"It is a great movie with good graphics. The team did a lot of work.All the finishers were present.It is perfect but if you watched Scorpion's Revenge, don't make a conclusions.Scorpion doesn't look great.","positive"
10,"Test your might! All I can say is...can't wait for part 2!!!","positive"
8,"Was this a great movie? No. Was this a good movie? Also, probably, no. Alright... let's be honest, this was a bad movie. But it was a great MORTAL KOMBAT movie.Full disclosure, I'm a big fan of the Mortal Kombat franchise. I've been playing the video games since the 90's and I am 100% the target demographic for this movie. If you are like me, you will enjoy the movie. If you are not like me, you probably won't (nor should you).Watching the movie is like you're experiencing a playthrough of a new MK game on story mode. All dialogue just serves as a filler between fight scenes. I love the hard R rating that allows the film to embrace the brutality of the violence that is the signature of the series.There are a ton of nods throughout the film to insider fans.Again, in summation: not a good movie. But a GREAT Mortal Kombat movie. Take that for what you will.","positive"
6,"Great visuals, excellent fight scenes, good choices on most of the cast (e.g Kano, Scorpion, Sub-Zero) and just a fun movie overall. If you are familiar with the game, you will like it.Keep in mind that it's a trilogy, so this first film tries to add some background! Luckily there's not much time spent on meaningless conversations and the scenes get into the action parts faster than you would expect. Runtime of 1h 50min is works well; you will not be bored.Fight scenes get more rewarding halfway through, closer to the game style.Also, the idea to rotate this film's story around the rivalry between scorpion and sub-zero worked; it gave some background. Maybe the lead protagonist is not that interesting compared to the other characters but he seems necessary to keep the story moving forward.So, this first film does the job and although not everyone from the game is in it, I m sure all the other favorite characters will appear in the next 2 films and I m looking forward to that.6,5/10 good effort bringing the game on film screen.","negative"
9,"It's fun, a little dumb but not in a bad way.The fight choreography is amazing and the effects are better than most blockbusters (Godzilla vs Kong I'm looking at you).It's good, I enjoyed it a lot.","positive"
8,"Could this movie have been better? For sure. Are the characters fun? Yes. Are the fight scenes good? Absolutely. I would've liked a couple more ninja scenes worked in. I feel the ninja genre is under served and there's a ripe opportunity to bring it back. And of course they had two of the coolest ninjas ever at their disposal.","positive"
8,"I'll try to say as little as possible so no spoilers.I, personally wanted to watch it and changed my mind the first time going to a theater as I read some reviews here. I'm glad I changed my mind again and went to see it.I enjoyed the whole movie,and looking forward to next one. The negative reviews mostly say couple of things : 1 bad acting 2 not enough action..
Well firstly it's not an oscar reaching drama so for acting - acting was fine, all characters were in their style and some even better than expected.The movie has plenty of action but you gotta keep in mind that it's clearly made to be continued soon, so this film gives a nice welcome to MK world. Well balanced story good action and def fun MK fights....these reviewers must have lost the love for MK world, but it's easier to criticize the movie vs recognizing that they too old for this .lol..Ignore negative reviews, go watch it and enjoy.","positive"
8,"I really enjoyed the fights,the dialogues, and the customs, looking forward for the next movie.","positive"
8,"Gory just like the source material. Not the best storyline I've ever encountered, but certainly better than expected.I went in with low expectations and I'm glad to say I was surprised. Considering whats coming out these days, this was one of the more enjoyable movies I've watched over the last year.","positive"
8,"I am not big fan of the game but the movie was entertaining for me. It had great action and fight choreography along with good special effects. Characters and their abilities were also very well done.The main problem with the movie was that storyline was predictable from the beginning. The plot could have been better. Expectations go high when studio takes 20 years to make a reboot. Overall, a total enjoyment (if you watch it without high expectations).","positive"
8,"The movie was ok for a fun watch in theaters.(Something that's quite a feat to accomplish, considering we are in the middle of a pandemic.... never thought I'd ever have to write that but here we are.)It doesn't need a long review. If you need to have the movie be so accurate, you're better off playing the video games.And even the video games contradict themselves, most prominently since MK 10, where it seems they have gradually discredited MK: Deception, Sub Zero Mythologies, MK: Armageddon and some aspects of MK9.Although, the movie follows in the vein of MK9 and humanizes the plot by adding a new character, complete with some backstory and background.No new ground was broken with character development and it doesn't need to when we have played the 20 different games there are on the subject.The fatalities and gore FINALLY have made it onto the big screen and for that, I commend the filmmakers and their ear for fan service.The dialogue was less contrived than the first 2 movies and the witty Kano, who is usually despised by your average MK fan, was a delightful surprise.He really helped move the already awkward dialogue and deadpan performances along.For me, it was worth the ill advised trip to the theater. I do believe there's plenty of room for improvement but hopefully, the obviously hinted at sequel will take the movie where it needs to be, but for now, it was a good beginning and a fun, slightly nostalgic experience.","positive"
8,"I found the film quite entertaining with a very different storyline. The movie felt short although it is about 2hrs long. Lots of action with cool fight scenes and blood. The addition of cole can be a hit and a miss or first base depending on how the storyline for the film is developed. As a fan of the game and movies other than the cgi Gorro i caught myself enjoying the movie unravel. Id say if your an mk fan you will enjoy the fight scenes along with the fighters move set combinations. I give it a thumbs up!!","positive"
8,"I have seen alot of negative reviews about the film but if your a fan of the game you need to watch it. The main character is not as bad as people are making out and the plot is a stepping stone for an expansive franchise. I'm not going to say much about the story as you can read the synopsis so no spoilers. Please don't listen to the negative reviews as me and my wife really enjoyed it and can't wait for the sequel. Everyone is entitled to there opinion so watch it and hopefully you enjoy it as much as we did.","positive"
7,"Like breaking out the Nintendo and reliving some childhood memories. It's not earth shattering writing - but it does what it's intended to do, serve up some great nostalgic (and sometimes bloody) fight scenes.","positive"
8,"How did they keep making PG-13 movies out of a video game that involves ripping people's spines out? Well, they finally got it right with the blood and gore. The story was a little weak but I'll forgive it, as my 14-year-old inner self was rejoicing throughout!","positive"
8,"By FAR the best movie of a video game licence. This is surely not a great movie, but if you like Mortal Kombat games franchise, you sure won't be dissapointed by it.Great visual effects, the movie don't take itself too seriously, lot of gore and violence and lot of characters made a appearance.If you don't like/know the franchise, it sure won't be the same.On a more personal note, I very dislike that Mortal Kombat theme remix on the end credits.","positive"
9,"People are giving this movie too much flack because they don't udnerstand the premise. This movie isn't the tournament - It's a precursor to the tournament. It's a fight to lead into the tournament. Given a sequel happens that's what we'll see. It was made clear even in the beginning of the film there will be no tournament...","positive"
7,"It's actually great, with the history of this.The fight is totally awesome, it's very outstanding when see Sub-Zero use his ice.But, I think, the story still need more, because it's feel too forced to be 2 hours.","positive"
8,"It is a great movie with a lots of action and and the characters are great and I think the Actors Did a good job in the movie and most of it was really great but there is some couple things wrong with the movie like not a lot of characters from the game like reptile,shao kahn,meat, rain they were not in the movie which I don't like And spoiler warning! Another thing I don't like about it is it does not have any after the Credits there was no scene explaining Johnny cage it could've been awesome if they do that it could've been the perfect ending for Mortal Kombat movie and announce the sequel and over all my opinion on the movie I think it was action packed I think it was like the video game if you like video games you will love this movie a lot And if you like action movies you will love this movie I highly recommend it to anyone who is a diehard video game fan and I think the movie was great.","positive"
7,"I hated the plot the main character was a terrible addition the setup for the next movie was kinda cheesy as well. The intro was just amazing i did overall enjoy the movie but it was not as good as it could have been. Too much backstory that they made up instead of using the source material.","positive"
8,"If you go to see Godzilla vs Kong you want gain fights ; if you go to see Mortal Kombat you want bloody combats to dead.","positive"
7,"I thought the begining of the movie would lead to a champion who was directly trained and raised by raiden. Not sure what happend to the kid instead we will have his grand kid maybe? Which is aloser which being push as a leader of groups of champion. Which is weird as i always see liukang as one of the grup leader. Other than subzero vs scorpion fight everything else needs improvement (alot), as the cover shows subzero and scorpion the fight scene between the two saves the beginning and the ending fights from dissapointment. This movie can lead to an interesting franchise.","positive"
8,"This is exactly what it's supposed to be...
Some reviews claiming to be 27 year vets of MK and wish they had more deep character arcs and a more meaningful story.Play the game, then watch the film....... the director said he wanted to stay loyal to the game and its roots, and in alot of ways they did.Kano provides comedy relief in buckets, not forced humour or politically charged comments, honestly I was howling at some of his one liners. The scorpion and Sub Zero storyl line is brilliant and a great centre stage for an MK movie. Loads of gore, loads of fights and lots of everything in between.This film is based on a fighting game where you rip people's spines out then meet then again later. Remember not to take this film too seriously and you'll have a blast.","positive"
7,"Faithful to the game as far as fatalities go. Faithful to the Sub-Zero and Scorpion rivalry. Action packed, great fighting choreography, acting was good. What it lacked was the tournament. It seemed the story and script was overwhelmed by the decades of story from the game. It needs sequels to complete what I watched. It seems they set up for one. It made me feel like this movie was made to set up more. Overall they stayed faithful, and developed a movie lovers of the franchise cannot ignore to love. Gore, funny, action.","positive"
9,"What do you expect? It's fun. Not meant to be Citizen Kane... director and cast did a great job with what this is. An ultra-violent fun b-action movie. Grow up 1 star folks. Go write a scathing review about The Expendables next... or? Get the giant sticks out of your a##'s and realize that sometimes people want to just have fun. This team provided that.So why beat down this crew for doing pretty close to exactly as good a job as they could have done with the source material (an ultra-violent 80's video game)... I had fun. My family had fun. Even my dog had fun.I get it. I was a 12 year old discovering Quentin Tarantino for the first time too once. Critiquing everything, and crying over the beauty of a floating shopping bag... dancing in the wind... but sometimes you just gotta enjoy a guy getting his arms frozen off. Y'know? FINISH HIM!Great job to this team, thanks for distracting us for a weekend from the horror of the modern world.","positive"
10,"I have been fan of Mortal Kombat for a few years, and this movie is perfect for the videogame, if you know the history and characters you will be excited if you watch it, since the cast, story and fights are exactly what I imagined. Mortal Kombat is cheesy in its way, and I love that they captured that, but some people could not understand this. Anyways, I cannot wait for the second part of this movie.(Ps: Sorry if my English is not that good, but I needed to talk about this movie)","positive"
